EarTag,Species,GMU,Region,Year,Partruition,Capture date,Location,Collar FQ,Collar ID,Doe FQ,Doe ID,VIT FQ,VIT ID,Collar Type,Sex,AgeClassAnalysis,Age.Class,LastChecked,Collar Function,VIT Function,ReCapComments,Recapture?,Survival,Fate,FateDate,Description,Comment,SAD?,
18550,WTD,15,2,2019,,3/10/2019,S. Etta Harmon,148.95,18143,,,,,NonPregDoe,F,,17,,,79,Was pregnant but the yearling was very small and the VIT was not even close to fitting. Antenna chewed on collar but collar is still communicating and transmitting VHF.,,0,Censored,12/22/2019,Collar Failure,"Daily data until Dec 22, 2019, only 1 location Mar 22, 2020. Battery probably dead",17,
18554,WTD,15,2,2019,,3/1/2019,Mt. Idaho Grade 1,150.035,18169,,,,,NonPregDoe,F,,18,,,82,,,0,Censored,11/24/2019,Collar Failure,Data until 11/24,18,
18562,WTD,15,2,2019,,3/2/2019,Mt. Idaho Grade 2,151.63,18237,,,,,NonPregDoe,F,,18,,,71.5,Dry nasal swab taken. VIT was too big so no VIT was inserted. Spent 5 min and multiple releases trying to kick off collar.,,0,Censored,3/2/2019,Collar Failure,Stopped transmitting a day after capture. Should not have been reused,18,"Maybe needs fate date to be altered in SAD, to 2019"
18567,WTD,15,2,2019,,3/16/2019,Castle Creek 3,151.11,18222,,,,,NonPregDoe,F,,18,,,78.5,Pregnant but shallow vagina and was starting to bleed. Could not insert VIT. In trap with another doe with a prolapsed vagina. Released second doe without a collar.,,0,Censored,9/16/2020,Collar Failure,stopped transmitting 9/16/2020 Castle creek camp deer,18,
18701,WTD,15,2,2019,,3/6/2019,Mt. Idaho Grade 1,148.08,83876,,,,,Buck,M,,18,,,74.5,Drop off set to 100 wks. Dry nasal swab taken.,,1,Predation,8/8/2019,Unknown Predation,,18,
18708,WTD,15,2,2019,,3/5/2019,S. Etta Harmon,148.225,83880,,,,,Buck,M,,18,,,94,Drop off set to 100 wks. Buck fawn in trap also. Dry nasal swab taken.,Large gash down left side.,1,Non-Predation,7/24/2019,Car Strike,Car Strike,18,
18860,WTD,10A,2,2019,,3/18/2019,Burnt Rubber 2,148.715,83900,,,,,Buck,M,,18,,,93,Drop off set for 100 weeeks.,,1,Non-Predation,10/12/2020,Harvest,Harmony Heights,18,
19025,WTD,10A,2,2019,,3/27/2019,Burnt Rubber 1,148.66,83897,,,,,Buck,M,,17,,,83,Drop off set to 100 weeks,,0,Alive,2/6/2020,Shed,"In Boise now - unsure of fate, dropped collar? Maybe the one that Shane picked up?",17,
19043,WTD,10A,2,2019,,3/21/2019,Burnt Rubber 3,148.945,83914,,,,,Buck,M,,18,,,84,,,0,Alive,1/14/2020,Shed,,18,
19046,WTD,10A,2,2019,,3/20/2019,Burnt Rubber 2,148.935,83913,,,,,Buck,M,,18,,,90,Drop off set to 100 weeks. Super skinny. Was caught upside down in the trap when we arrived - seemed fine on release.,,1,Non-Predation,12/26/2019,Harvest,"possible gunshot in chest cavity, no evidence of predation",18,
19047,WTD,10A,2,2019,,3/18/2019,Tree Farm 2,148.73,83959,,,,,Buck,M,,18,11/25/2021,,83,,,0,Alive,11/25/2021,Alive,"Now was 83901 no data since Aug 10, 2019. Likely dead battery, Collar blew off in 2021 trap and collected",18,
19535,WTD,10A,2,2019,,3/29/2019,Olsen 1,148.825,83905,,,,,Buck,M,,17,,,76,Drop off set to 100 weeks.,,0,Alive,4/9/2019,Shed,,17,
19536,WTD,15,2,2019,,3/1/2019,Castle Creek 2,150.845,43562,,,,,Fawn,F,,16,,55,67,,,0,Censored,4/19/2019,Collar Failure,"Data stopped transmitting April 19, 2019. probably dead",16,
19537,WTD,15,2,2019,,2/28/2019,Castle Creek 2,150.97,18217,,,,,NonPregDoe,F,,18,,,81.5,,,1,Predation,8/7/2019,Wolf,,18,
19538,WTD,15,2,2019,,2/28/2019,Mt. Idaho Grade 2,150.925,43568,,,,,Fawn,F,,16,,54,62,,,0,Censored,7/29/2019,Slipped Collar,Possible early drop-off?,16,
19539,WTD,15,2,2019,,3/2/2019,S. Etta Harmon,149.935,43518,,,,,Fawn,F,,16,,60,69,,,0,Unknown,6/12/2020,Unknown,Stopped transmitting 6/12/2020,16,
